"	Most Completed Swaps of a Face Swap Card"


"	product_id","	Face Swap Completed--All Users"
"	6824da05a6175d3de5d4c1b4","	4.0"
"	681a962a893cf25ab7e1942f","	4.0"
"	67e49f2b47a3fa65b3760e41","	4.0"
"	6798a75c96ca37251f2afdae","	4.0"
"	679ca1f940d8364428170bc0","	4.0"
"	58fa3763e4b0235ae43b0fd3","	4.0"
"	66facba8cca83c52e5c2d8fa","	4.0"
"	66f2caacbb370a0c24a0fdfd","	4.0"
"	66fad6f343e81f36cd7b2ac0","	4.0"
"	66eaecf42e91330417291451","	4.0"
"	66fac6ee21fd6d6f34901ae2","	4.0"
"	681c9fdf3e525f60b97adacb","	4.0"
"	6756238120c2a074f2395213","	4.0"
"	682341233e525f60b97add3c","	4.0"
"	67a9fd3904017d3ca8caaa1c","	4.0"
"	686871c96136c5306b165841","	4.0"
"	66fac60bc9ebfa768b893511","	4.0"
"	67a978ae4ddf646a84db84f3","	4.0"
"	68256289350ec064a9c7cfe2","	4.0"
"	67d8935765b387717d633edc","	4.0"
"	683098943d91122735d3fbd2","	4.0"
"	66f2c363516aff25fc2b4fbd","	4.0"
"	6848169aad723e68b9792070","	3.0"
"	67925a5ce64eb653a443baa9","	3.0"
"	6800bbfebb56f6239add5e9c","	3.0"
"	67bde97da48af9648e7b3605","	3.0"
"	679ed58796ca37251f2b0551","	3.0"
"	6777c07574ae58369caac6ba","	3.0"
"	673751cf8dac692b4badbe9f","	3.0"
"	66eaee051eda1310b40f8eb7","	3.0"
"	68305ca20e882b1e7d33c9a3","	3.0"
"	68097dcdb958bb5b697f9a0c","	3.0"
"	687937c9199a276d2990a9f1","	3.0"
"	68305a13efdcf05166f9e294","	3.0"
"	66e40bdd3538d509f8cfc4a4","	3.0"
"	67cb9d4f5c3d1367740da794","	3.0"
"	67a20eaa3281eb373ee357e1","	3.0"
"	67657c0a563c090869637bc7","	3.0"
"	66faca26c9ebfa768b893516","	3.0"
"	67657dffca84ca57b0f36aaa","	3.0"
"	66d983c9620bb875519ec14f","	3.0"
"	681c81910e882b1e7d33c20f","	3.0"
"	66fad91921fd6d6f34901af2","	3.0"
"	67989d8196ca37251f2afd8f","	3.0"
"	678fd680c66ac51932da12e3","	3.0"
"	680eccb0e5a5d9791105961e","	3.0"
"	66eae8e7c621911e76f9e553","	3.0"
"	681a8d88de466a0fd55da4ca","	3.0"
"	681c81383e525f60b97adaa9","	3.0"
"	66fac82b95a1c20ce801e465","	3.0"
"	66e4126dded8e02120436472","	3.0"
"	677809ccca84ca57b0f36edc","	3.0"
"	67ab656198259032b88f8c73","	3.0"
"	66e9a6bfded8e021204366a4","	3.0"
"	682566fbd34bfb25d358fd68","	3.0"
"	67e6948a3f57af38d7663b4b","	2.0"
"	66d983136cae853bfd9eb263","	2.0"
"	66fa9d408e8de57b9d94ab2a","	2.0"
"	67a0ac510321fb105fe6c4e5","	2.0"
"	6800213aee8ac970c5d76f35","	2.0"
"	687ab6336136c5306b165d57","	2.0"
"	66facdbd8e8de57b9d94ab50","	2.0"
"	6822f9413e525f60b97add10","	2.0"
"	67655b7e74ae58369caac266","	2.0"
"	67937f2304017d3ca8ca8d16","	2.0"
"	6781bcaf2ff65e0a465c8c64","	2.0"
"	68098637b958bb5b697f9a10","	2.0"
"	68266bdc0e882b1e7d33c593","	2.0"
"	68374b7e893cf25ab7e1a045","	2.0"
"	67977e4d40d83644281703d6","	2.0"
"	6776c2e9b815ad6affbffacb","	2.0"
"	67ab65777b4de10c7f58ff53","	2.0"
"	6731165e16b3af679b79dcca","	2.0"
"	680eee893175fb6967ec29c2","	2.0"
"	67360a7acdfdbd6717aedc3b","	2.0"
"	6822fa1a62ca674064b07f62","	2.0"
"	68307aa1de466a0fd55dae03","	2.0"
"	67813c260aae274664c1fe72","	2.0"
"	681c7e4eefdcf05166f9dc43","	2.0"
"	681e06fbde466a0fd55da6ae","	2.0"
"	67842078291bcc7eee8742ed","	2.0"
"	679a5538e9f87b77db6b9312","	2.0"
"	680b58efbb56f6239add61db","	2.0"
"	67c1b54192d0c241d3aae122","	2.0"
"	66facb83464d7c2c1262d7cc","	2.0"
"	67a368eaf51d1518eeef13f8","	2.0"
"	66e7e70dd9222747ddb2b40c","	2.0"
